客户id,登录账号,客户名称,分销关系关联时间,订单号,产品id,产品名称,实例id,实例首购时间,订单类型,订单时长（月）,支付时间,原价,应付金额,实付金额,项目ID,是否算评级业绩,评级业绩,消费账号数,不返佣原因,合同返佣比例,佣金比例,佣金金额,是否伙伴与客户协同的订单
1171295614650613,春律互联网金融,瑞博恩融资租赁（深圳）有限公司,2017-05-24 16:30:51,,naspost,文件存储（按量付费）,3fe5948d73,2017-07-19 14:13:27,后付费,,2021-07-19 00:00:00,24.405,24.31,24.31,,是,24.31,873,,,0.15,3.6465,否
1171295614650613,春律互联网金融,瑞博恩融资租赁（深圳）有限公司,2017-05-24 16:30:51,,naspost,文件存储（按量付费）,25e6649f90,2017-07-19 14:13:27,后付费,,2021-07-12 00:00:00,0,0.1,0.1,,是,0.1,873,,,0.15,0.015,否
1171295614650613,春律互联网金融,瑞博恩融资租赁（深圳）有限公司,2017-05-24 16:30:51,,naspost,文件存储（按量付费）,25e6649f90,2017-07-19 14:13:27,后付费,,2021-07-18 00:00:00,0,0.06,0.06,,是,0.06,873,,,0.15,0.009,否
1171295614650613,春律互联网金融,瑞博恩融资租赁（深圳）有限公司,2017-05-24 16:30:51,,rds,关系型数据库RDS(包月),rm-uf636guq410osh7y1,2017-07-19 12:04:02,后付费,,2021-07-01 00:00:00,5.517,5.41,5.41,,是,5.41,873,,,0.15,0.8115,否
1171295614650613,春律互联网金融,瑞博恩融资租赁（深圳）有限公司,2017-05-24 16:30:51,,eip,弹性公网IP（后付费）,eip-uf6r862tqwxw05mrft8r4,2019-05-16 19:25:31,后付费,,2021-07-14 00:00:00,1.54,1.51,1.51,,是,1.51,873,,,0.15,0.2265,否
1171295614650613,春律互联网金融,瑞博恩融资租赁（深圳）有限公司,2017-05-24 16:30:51,,naspost,文件存储（按量付费）,3ebab496f1,2017-07-19 14:13:27,后付费,,2021-07-04 00:00:00,0.12,0.1,0.1,,是,0.1,873,,,0.15,0.015,否
1171295614650613,春律互联网金融,瑞博恩融资租赁（深圳）有限公司,2017-05-24 16:30:51,,naspost,文件存储（按量付费）,3a2bc4bd20,2017-07-19 14:13:27,后付费,,2021-07-03 00:00:00,0.096,0.03,0.03,,是,0.03,873,,,0.15,0.0045,否
1171295614650613,春律互联网金融,瑞博恩融资租赁（深圳）有限公司,2017-05-24 16:30:51,,slb,传统型负载均衡CLB（按量付费）,lb-uf6kxj4okjc1dk0kogyo2,2017-07-19 13:13:36,后付费,,2021-07-06 00:00:00,0.48,0.48,0.48,,是,0.48,873,,,0.15,0.072,否
1171295614650613,春律互联网金融,瑞博恩融资租赁（深圳）有限公司,2017-05-24 16:30:51,,naspost,文件存储（按量付费）,3a2bc4bd20,2017-07-19 14:13:27,后付费,,2021-07-12 00:00:00,0.096,0.04,0.04,,是,0.04,873,,,0.15,0.006,否
1171295614650613,春律互联网金融,瑞博恩融资租赁（深圳）有限公司,2017-05-24 16:30:51,,naspost,文件存储（按量付费）,37ba649340,2017-07-19 14:13:27,后付费,,2021-07-06 00:00:00,0,0.08,0.08,,是,0.08,873,,,0.15,0.012,否
1171295614650613,春律互联网金融,瑞博恩融资租赁（深圳）有限公司,2017-05-24 16:30:51,,naspost,文件存储（按量付费）,37ba649340,2017-07-19 14:13:27,后付费,,2021-07-26 00:00:00,0,0.04,0.04,,是,0.04,873,,,0.15,0.006,否
1171295614650613,春律互联网金融,瑞博恩融资租赁（深圳）有限公司,2017-05-24 16:30:51,,slb,传统型负载均衡CLB（按量付费）,lb-uf6kxj4okjc1dk0kogyo2,2017-07-19 13:13:36,后付费,,2021-07-16 00:00:00,0.48,0.48,0.48,,是,0.48,873,,,0.15,0.072,否
1171295614650613,春律互联网金融,瑞博恩融资租赁（深圳）有限公司,2017-05-24 16:30:51,,cdn,内容分发网络CDN,1171295614650613;CN,2017-09-25 12:21:43,后付费,,2021-07-13 00:00:00,0.638,0.61,0.61,,是,0.61,873,,,0.15,0.0915,否
1171295614650613,春律互联网金融,瑞博恩融资租赁（深圳）有限公司,2017-05-24 16:30:51,,slb,传统型负载均衡CLB（按量付费）,lb-uf6kxj4okjc1dk0kogyo2,2017-07-19 13:13:36,后付费,,2021-07-20 00:00:00,0.48,0.48,0.48,,是,0.48,873,,,0.15,0.072,否
1171295614650613,春律互联网金融,瑞博恩融资租赁（深圳）有限公司,2017-05-24 16:30:51,,cdn,内容分发网络CDN,1171295614650613;CN,2017-09-25 12:21:43,后付费,,2021-07-06 00:00:00,0.875,0.84,0.84,,是,0.84,873,,,0.15,0.126,否
1171295614650613,春律互联网金融,瑞博恩融资租赁（深圳）有限公司,2017-05-24 16:30:51,,naspost,文件存储（按量付费）,3fe5948d73,2017-07-19 14:13:27,后付费,,2021-07-11 00:00:00,24.18,24.08,24.08,,是,24.08,873,,,0.15,3.612,否
1171295614650613,春律互联网金融,瑞博恩融资租赁（深圳）有限公司,2017-05-24 16:30:51,,rds,关系型数据库RDS(包月),rm-uf636guq410osh7y1,2017-07-19 12:04:02,后付费,,2021-07-10 00:00:00,6.166,6.07,6.07,,是,6.07,873,,,0.15,0.9105,否
1171295614650613,春律互联网金融,瑞博恩融资租赁（深圳）有限公司,2017-05-24 16:30:51,,rds,关系型数据库RDS(包月),rm-uf636guq410osh7y1,2017-07-19 12:04:02,后付费,,2021-07-14 00:00:00,6.433,6.32,6.32,,是,6.32,873,,,0.15,0.948,否
1171295614650613,春律互联网金融,瑞博恩融资租赁（深圳）有限公司,2017-05-24 16:30:51,,naspost,文件存储（按量付费）,37ba649340,2017-07-19 14:13:27,后付费,,2021-07-01 00:00:00,0,0.1,0.1,,是,0.1,873,,,0.15,0.015,否
1171295614650613,春律互联网金融,瑞博恩融资租赁（深圳）有限公司,2017-05-24 16:30:51,,naspost,文件存储（按量付费）,3a2bc4bd20,2017-07-19 14:13:27,后付费,,2021-07-04 00:00:00,0.096,0.03,0.03,,是,0.03,873,,,0.15,0.0045,否
1171295614650613,春律互联网金融,瑞博恩融资租赁（深圳）有限公司,2017-05-24 16:30:51,,naspost,文件存储（按量付费）,37ba649340,2017-07-19 14:13:27,后付费,,2021-07-28 00:00:00,0,0.08,0.08,,是,0.08,873,,,0.15,0.012,否
1171295614650613,春律互联网金融,瑞博恩融资租赁（深圳）有限公司,2017-05-24 16:30:51,,naspost,文件存储（按量付费）,37ba649340,2017-07-19 14:13:27,后付费,,2021-07-09 00:00:00,0,0.05,0.05,,是,0.05,873,,,0.15,0.0075,否
1171295614650613,春律互联网金融,瑞博恩融资租赁（深圳）有限公司,2017-05-24 16:30:51,,slb,传统型负载均衡CLB（按量付费）,lb-uf6kxj4okjc1dk0kogyo2,2017-07-19 13:13:36,后付费,,2021-07-22 00:00:00,0.48,0.48,0.48,,是,0.48,873,,,0.15,0.072,否
1171295614650613,春律互联网金融,瑞博恩融资租赁（深圳）有限公司,2017-05-24 16:30:51,,naspost,文件存储（按量付费）,37ba649340,2017-07-19 14:13:27,后付费,,2021-07-05 00:00:00,0,0.03,0.03,,是,0.03,873,,,0.15,0.0045,否
1171295614650613,春律互联网金融,瑞博恩融资租赁（深圳）有限公司,2017-05-24 16:30:51,,naspost,文件存储（按量付费）,3a2bc4bd20,2017-07-19 14:13:27,后付费,,2021-07-16 00:00:00,0.096,0.04,0.04,,是,0.04,873,,,0.15,0.006,否
1171295614650613,春律互联网金融,瑞博恩融资租赁（深圳）有限公司,2017-05-24 16:30:51,,naspost,文件存储（按量付费）,25e6649f90,2017-07-19 14:13:27,后付费,,2021-07-01 00:00:00,0,0.05,0.05,,是,0.05,873,,,0.15,0.0075,否
1171295614650613,春律互联网金融,瑞博恩融资租赁（深圳）有限公司,2017-05-24 16:30:51,,slb,传统型负载均衡CLB（按量付费）,lb-uf6kxj4okjc1dk0kogyo2,2017-07-19 13:13:36,后付费,,2021-07-18 00:00:00,0.48,0.48,0.48,,是,0.48,873,,,0.15,0.072,否
1171295614650613,春律互联网金融,瑞博恩融资租赁（深圳）有限公司,2017-05-24 16:30:51,,naspost,文件存储（按量付费）,3ebab496f1,2017-07-19 14:13:27,后付费,,2021-07-31 00:00:00,0.12,0.04,0.04,,是,0.04,873,,,0.15,0.006,否
1171295614650613,春律互联网金融,瑞博恩融资租赁（深圳）有限公司,2017-05-24 16:30:51,,naspost,文件存储（按量付费）,3a2bc4bd20,2017-07-19 14:13:27,后付费,,2021-07-26 00:00:00,0.096,0.11,0.11,,是,0.11,873,,,0.15,0.0165,否
1171295614650613,春律互联网金融,瑞博恩融资租赁（深圳）有限公司,2017-05-24 16:30:51,,cdn,内容分发网络CDN,1171295614650613;CN,2017-09-25 12:21:43,后付费,,2021-07-26 00:00:00,0.184,0.17,0.17,,是,0.17,873,,,0.15,0.0255,否
1171295614650613,春律互联网金融,瑞博恩融资租赁（深圳）有限公司,2017-05-24 16:30:51,,cdn,内容分发网络CDN,1171295614650613;CN,2017-09-25 12:21:43,后付费,,2021-07-27 00:00:00,1.34,1.3,1.3,,是,1.3,873,,,0.15,0.195,否
